UNITID,INSTNM,ADDR,CITY,STABBR,WEBADDR,COUNTYNM,LONGTITUDE,LATITUDE
171100,Michigan State University, ,East Lansing,MI,www.msu.edu,"Ingham County, MI",-84.473639,42.72476
172644,Wayne State University,656 West Kirby Street,Detroit,MI,www.wayne.edu,"Wayne County, MI",-83.072864,42.35861
174066,University of Minnesota-Twin Cities,100 Church Street SE,Minneapolis,MN,www1.umn.edu/twincities/index.php,"Hennepin County, MN",-93.235352,44.977886
179867,Washington University in St Louis,One Brookings Drive,Saint Louis,MO,www.wustl.edu,"St. Louis County, MO",-90.311639,38.648125
181464,University of Nebraska-Lincoln,14th and R St,Lincoln,NE,www.unl.edu/,"Lancaster County, NE",-96.702177,40.822272
182670,Dartmouth College,207 Parkhurst Hall,Hanover,NH,www.dartmouth.edu,"Grafton County, NH",-72.260331,43.71365
186131,Princeton University,1 Nassau Hall,Princeton,NJ,www.princeton.edu,"Mercer County, NJ",-74.664365,40.348235
186380,Rutgers University-New Brunswick,83 Somerset St,New Brunswick,NJ,www.rutgers.edu/,"Middlesex County, NJ",-74.45051,40.503796
187985,University of New Mexico-Main Campus,1700 Lomas Blvd NE,Albuquerque,NM,www.unm.edu,"Bernalillo County, NM",-106.620155,35.083868
190150,Columbia University in the City of New York,West 116 St and Broadway,New York,NY,www.columbia.edu,"New York County, NY",-73.961885,40.808286
190415,Cornell University,300 Day Hall,Ithaca,NY,www.cornell.edu,"Tompkins County, NY",-76.48269,42.44529
193900,New York University,70 Washington Sq South,New York,NY,www.nyu.edu,"New York County, NY",-73.997264,40.729452
194824,Rensselaer Polytechnic Institute,110 8th St,Troy,NY,www.rpi.edu,"Rensselaer County, NY",-73.678768,42.728983
195030,University of Rochester,Wilson Blvd. - Wallis Hall,Rochester,NY,www.rochester.edu,"Monroe County, NY",-77.631622,43.12658
196088,University at Buffalo,12 Capen Hall,Buffalo,NY,www.buffalo.edu,"Erie County, NY",-78.789187,43.000416
196097,Stony Brook University,310 Administration Building,Stony Brook,NY,www.stonybrook.edu,"Suffolk County, NY",-73.147259,40.916417
196130,SUNY College at Buffalo,1300 Elmwood Ave,Buffalo,NY,www.buffalostate.edu,"Erie County, NY",-78.88067,42.934199
196413,Syracuse University,"Crouse Hinds Hall, Suite 600",Syracuse,NY,syr.edu/,"Onondaga County, NY",-76.135062,43.037587
198419,Duke University,103 Allen Bldg,Durham,NC,WWW.DUKE.EDU,"Durham County, NC",-78.94226,36.00159
199120,University of North Carolina at Chapel Hill,103 South Bldg Cb 9100,Chapel Hill,NC,www.unc.edu,"Orange County, NC",-79.050969,35.912165
199193,North Carolina State University at Raleigh,2101 Hillsborough Street,Raleigh,NC,www.ncsu.edu,"Wake County, NC",-78.674517,35.785111
199847,Wake Forest University,1834 Wake Forest Road,Winston Salem,NC,www.wfu.edu,"Forsyth County, NC",-80.279004,36.135301
201645,Case Western Reserve University,10900 Euclid Ave,Cleveland,OH,www.case.edu,"Cuyahoga County, OH",-81.605769,41.500812
202763,The University of Findlay,1000 N Main St,Findlay,OH,www.findlay.edu/,"Hancock County, OH",-83.652067,41.05441
207500,University of Oklahoma Norman Campus,660 Parrington Oval,Norman,OK,www.ou.edu,"Cleveland County, OK",-97.445692,35.208152
207971,University of Tulsa,800 South Tucker Drive,Tulsa,OK,www.utulsa.edu,"Tulsa County, OK",-95.945175,36.151887
209542,Oregon State University,1500 S.W. Jefferson,Corvallis,OR,oregonstate.edu,"Benton County, OR",-123.27415,44.564523
209551,University of Oregon,110 Johnson Hall,Eugene,OR,www.uoregon.edu,"Lane County, OR",-123.07398,44.044515
211440,Carnegie Mellon University,5000 Forbes Avenue,Pittsburgh,PA,www.cmu.edu/,"Allegheny County, PA",-79.942914,40.444616
212054,Drexel University,3141 Chestnut St,Philadelphia,PA,www.drexel.edu,"Philadelphia County, PA",-75.188745,39.954855
